Name,Ticker,Min Investment,Price Per Token,Stage,Token Type,Investor Type,Description
18605 Orleans St,RealT,$50,$50.42,Trading,Equity,International Non-US,"Presenting 18605 Orleans, a single-family residence featuring 928 square feet of living space on a generously-sized 4,792 square-foot lot. This lovely well-kept brick home offers 3 bedrooms and 1 bath..."
9135 Yorkshire Rd,RealT,$51,$50.86,Trading,Equity,International Non-US,TBA
3953 Fairview St,RealT,$52,$51.99,Trading,Equity,International Non-US,TBA
TV PLUS AG,TVPLS,$5,$4.96,Trading,Equity,International Non-US,"TV PLUS serves the Consumer and the Professional markets with TV streaming solutions. They provide a simple, hassle-free, state-of-the-art TV solution which works anywhere independently of your intern..."
Outlawz Food AG,VEGS,$400,$0.51,Trading,Equity,International Non-US,"Outlawz Food from Bern produces and develops protein-based meat substitutes. The products are available throughout Switzerland in retailers, restaurants and in our online shop. The focus of developmen..."
14066 Santa Rosa Dr,RealT,$52,$52.22,Trading,Equity,International Non-US,"The multi-family property at 14066 Santa Rosa Dr, located in the Oakman suburb of Detroit, Michigan, was built in 1927. The building consists of 5 units with an interior space totaling 4,143 square fe..."
8181 Bliss St Detroit,RealT,$54,$53.96,Trading,Equity,International Non-US,TBA
17204 Bradford Ave,RealT,$51,$51.43,Trading,Equity,International Non-US,TBA
13510 Dale St,RealT,$51,$50.63,Trading,Equity,International Non-US,"13510 Dale, a quaint single-family home in Detroit's Castle Rouge neighborhood, features 2 bedrooms, 1 bathroom, and a comfortable 733 sq ft living space. Close to Detroit Leadership Academy Middle Sc..."
WisdomTree Long Term Treasury Digital Fund,WTLGX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree Long-Term Treasury Digital Fund seeks to track the performance, before fees and expenses, of an Index designed to measure the performance of obligations of the U.S. Treasury with maturi..."
2911 Sturtevant St,RealT,$51,$50.62,Trading,Equity,International Non-US,"Built in 1925, 2911 Sturtevant is a multi-family residence composed of 27 fully-rented units."
10993 Worden St,RealT,$51,$50.90,Trading,Equity,International Non-US,"Nestled in the vibrant Morass - Morang neighborhood of Detroit, 10993 Worden St is a charming single-family property with 3 bedrooms and 1 bathroom, spanning 1,036 square feet of living space. Constru..."
19996 Joann Ave,RealT,$52,$51.75,Trading,Equity,International Non-US,TBA
1 Holdings Strasburg St,RealT,$50,$50.38,Trading,Equity,International Non-US,"Located in a community-centric area, these homes are conveniently near educational institutions like Fleming Early Learning Neighborhood preschool and Brenda Scott Academy, as well as Grace Church of..."
WisdomTree Floating Rate Treasury Digital Fund,FLTTX,$25,$,Trading,Lp Fund Interest,Non-Accredited Retail,"The WisdomTree Floating Rate Treasury Digital Fund seeks to track the performance, before fees and expenses, of an index designed to measure the performance of floating rate bonds of the U.S. Treasury..."
UnionBank - 11B PHP,UBP11B,$0,$1,Trading,Fixed Income,International Non-US,"UnionBank of the Philippines has raised ₱11 billion from its maiden digital peso bond offering — the first of its kind in the country.
The digital bonds were issued through the digital registry and..."
Millennium Sapphire,MSTO,$500,$3.5,Trading,Equity,US Accredited,"The Millennium Sapphire® is a 12.3 kg natural sapphire that was carved as a tribute to the creative genius of humanity. Valued at US$150 million, it is among the most valuable and renowned gemstones a..."
1 Holdings Fairview St,RealT,$50,$50.37,Trading,Equity,International Non-US,"With attached garages, spacious porches, and proximity to the Barack Obama Leadership Academy and East Canfield Pavilion Park, these properties cater to growing families and individuals seeking well-a..."
Societe Generale,SGI Index Linked,"$100,000",$99,Trading,Fixed Income,International Accredited,"Societe Generale is one of the leading European financial services groups. Based on a diversified and integrated banking model, the group combines financial strength and proven expertise in innovation..."
8060 Dreamsicle Dr,RealT,$51,$50.79,Trading,Equity,International Non-US,TBA
12405 Santa Rosa Dr,RealT,$51,$50.51,Trading,Equity,International Non-US,"The duplex at 12405 Santa Rosa Dr, situated in the Oakman suburb of Detroit, Michigan, is a two-unit property built in 1926. It offers a sizable interior living space of 2,500 square feet and sits on..."
1115 South Troy St Chicago,RealT,$53,$53.38,Trading,Equity,International Non-US,TBA
10700 Whittier Ave,RealT,$51,$51.29,Trading,Equity,International Non-US,"The multi-family property at 10700 Whittier Ave, located in the Yorkshire Woods suburb of Detroit, Michigan, was built in 1960. It consists of 16 units within a building totaling 8,940 square feet of..."
20160 Conant St,RealT,$52,$51.89,Trading,Equity,International Non-US,TBA
Franklin OnChain U.S. Government Money Fund,FOBXX)  (BENJI,$20,$1,Trading,Lp Fund Interest,Non-Accredited Retail,"The Fund is a regulated 1940 Act fund that invests at least 99.5% of its total assets in government securities, cash and repurchase agreements collateralized fully by government securities or cash. Th..."
SPiCE VC,SPiCE,$0,$1.37,Trading,Lp Fund Interest,US Accredited,SPiCE VC is a blockchain based venture capital fund aiming to disrupt VC by making VC investments liquid and opening up VC to more people through tokenizing.
3323 Waverly St,RealT,$53,$52.65,Trading,Equity,International Non-US,TBA
4252 E 163rd St,RealT,$51,$51.01,Trading,Equity,International Non-US,"4252 E 163rd is a welcoming olive-hued home nestled in a leafy setting, offering 3 bedrooms, 1 bathroom, and a 2-car garage. Spanning 1,829 square feet on a 6,250 square-foot lot, the home is designed..."
1 Holdings Conner St,RealT,$50,$50.45,Trading,Equity,International Non-US,TBA
11125 Craft St,RealT,$50,$50.21,Trading,Equity,International Non-US,"Conveniently situated near the Long Home Care Center and Rising Star Missionary Church, the residence ensures easy access to community amenities. Its location is further enhanced by its proximity to o..."
8744 Homer St,RealT,$49,$48.93,Trading,Equity,International Non-US,TBA
5250 Philip Ave,RealT,$50,$50.11,Trading,Equity,International Non-US,"5250 Philip in Maple Heights, Ohio, is a captivating two-story single-family home with a detached garage, part of a collection of RealT's properties. Offering 3 bedrooms, 1 bathroom, and 1,320 square..."
10807 Wadsworth Ave,RealT,$50,$50.01,Trading,Equity,International Non-US,"The two-story brick single-family home at 10807 Wadsworth, situated in Garfield Heights, a Cleveland suburb, offers a classic appeal with its architectural design. The house, well-maintained and featu..."
7430 Nett St,RealT,$53,$52.75,Trading,Equity,International Non-US,TBA
1 Holdings AFLE St,RealT,$50,$50.44,Trading,Equity,International Non-US,"1 Holdings AFLE (named for its constituent properties) presents a unique investment opportunity, with a collective 5,045 square feet of living space across four separate single-family residences in To..."
14260 Roselawn St,RealT,$51,$50.85,Trading,Equity,International Non-US,"Situated in the heart of a vibrant community, 14260 Roselawn provides residents with a doorstep to a wide variety of restaurants and parks, crafting a harmonious blend of urban convenience and recreat..."
3747 Scovel Pl,RealT,$50,$50.19,Trading,Equity,International Non-US,TBA
6659 Bitteroot Ln,RealT,$50,$50.12,Trading,Equity,International Non-US,"The property includes a convenient 2-car carport garage, offering residents ease of parking and added storage space. Located near Independence Park, the Berkeley Police station, and Berkeley Elementar..."
15240 Edmore Dr,RealT,$50,$49.98,Trading,Equity,International Non-US,TBA
12145 Kentucky St,RealT,$51,$50.98,Trading,Equity,International Non-US,TBA
10064 Baltimore Ave,RealT,$50,$50.47,Trading,Equity,International Non-US,"The property also features a shaded patio overlooking a level, partially-fenced yard, providing the perfect spot to relax or entertain friends and family. Additionally, this home includes a detached o..."
GF Securities - 100M USD,GFS100M,-,$1,Trading,Fixed Income,International Accredited,"GF Securities (Hong Kong) successfully issued fully digitized bonds, becoming one of the pioneering financial institutions to tokenize traditional financial assets in Hong Kong. This innovative produc..."
13245 Monica St,RealT,$51,$51.34,Trading,Equity,International Non-US,"The multi-family property located at 13245 Monica St, in the Oakman Boulevard Community of Detroit, Michigan, was built in 1930. It consists of 16 units with a combined interior space of 9,182 square..."
19200 Strasburg St,RealT,$56,$56.13,Trading,Equity,International Non-US,TBA
InVisionApp Inc.,UINV,$116,$28.9,Trading,Lp Fund Interest,International Non-US,"InVision provides world's leading design collaboration platform for startups, corporations, and design agencies."
Green Monkey Club AG,GMCS,$6,$6.26,Trading,Equity,International Non-US,The Green Monkey Club team have developed the world's first styling products based on natural seawater.
11300 Roxbury St,RealT,$59,$59.07,Trading,Equity,International Non-US,"The property at 11300 Roxbury St, located in the Yorkshire Woods suburb of Detroit, Michigan, is a single-family home built in 1939. It has an interior living space of 1,180 square feet and a lot size..."
1866 Reyburn Rd,RealT,$50,$50.48,Trading,Equity,International Non-US,"Reyburn is also surrounded by much-needed community amenities and recreational spaces such as Endora Playfield, Eastbrook Healthcare Center, and Faith Cumberland Presbyterian Church."
8106 Faith Ct,RealT,$48,$48.02,Trading,Equity,International Non-US,TBA
14903 Promenade St,RealT,$50,$50.40,Trading,Equity,International Non-US,"We are pleased to offer you our first Starter Property for our new investors: 14903 Promenade. This single family residence is located in the Conner neighborhood, near the New Christ Temple COGIC, and..."
8531 Intervale St,RealT,$54,$53.92,Trading,Equity,International Non-US,TBA
19140 Hubbell St,RealT,$51,$50.90,Trading,Equity,International Non-US,"Welcome to 19140 Hubbell, a single-family home situated in the Seven Mile Lodge neighborhood of Detroit. This residence features 3 bedrooms, 1 bathroom, and 1,092 square feet of living space on a 4,39..."
1542 S Ridgeway Ave Chicago,RealT,$52,$52.23,Trading,Equity,International Non-US,TBA
14256 Montrose St,RealT,$50,$50.24,Trading,Equity,International Non-US,"The duplex is equipped with a fireplace and chimney, and includes a detached garage. Currently rented by long-term tenants, this property offers an established income stream."
3310-3312 Sturtevant St,RealT,$52,$51.63,Trading,Equity,International Non-US,TBA
15303 Liberal St,RealT,$50,$50.31,Trading,Equity,International Non-US,"Its advantageous location, adjacent to the Heilmann Recreation Center and Fisher Magnet Lower School, positions it as a coveted spot for families, enhancing its value proposition and securing its plac..."
10703 McKinney St,RealT,$50,$49.79,Trading,Equity,International Non-US,TBA
1 Holdings S Arcola St,RealT,$51,$50.53,Trading,Equity,International Non-US,"Acquired at a favorable rate of $41.06/sqft, 1 Holdings Arcola encompasses seven well-maintained 3-bedroom homes with attached garages, situated for serene family living in the Coleman Young Internati..."
"12409 Whitehill St, Detroit",RealT,$54,$54.24,Trading,Equity,International Non-US,"The single-family residence located at 12409 Whitehill St in the Moross - Morang area of Detroit, Michigan, was constructed in 1943. This one-story home offers 708 square feet of living area and is po..."
11117 Worden St,RealT,$50,$50.44,Trading,Equity,TBA,TBA
10030 Cadieux Rd,RealT,$52,$51.61,Trading,Equity,International Non-US,"Nestled in Detroit's Yorkshire Woods neighborhood, Cadieux is a multi-family property built in 1957, strategically located just blocks from the freeway for a seamless commute. RealT's dedication to te..."
9151 Whittier Ave,RealT,$50,$50.02,Trading,Equity,International Non-US,TBA
i.AM Innovation Lab,iAM,"$100,000",$10,Trading,Equity,International Non-US,"Private individual shareholders of i.AM Innovation Lab AG have placed their tokenized shares on the decentralized exchange Uniswap. Here you can trade an array of popular ERC20 cyrpto tokens, like ETH..."
1 Holdings Helen St,RealT,$50,$50.06,Trading,Equity,International Non-US,"20000 Helen offers a cozy 690 square feet of living space, while 20032 Helen is slightly larger with 998 square feet. Both properties are situated on generous 5,097-square-foot lots and come with deta..."
Fat Brands - 40M USD A-2,FAT2020-1-A2,-,$1,Trading,Fixed Income,US Accredited,Fat Brands has completed an offering of $40 million of Series 2020-1 Fixed Rate Asset-Backed Notes (the “Notes”). The offering has been structured as a whole business securitization transaction throug...
Klarna,UKNA,$18,$639,Trading,Lp Fund Interest,International Non-US,Klarna is an eCommerce payment solutions platform for merchants and shoppers.
7337 S Yale Ave,RealT,$52,$51.62,Trading,Equity,International Non-US,TBA
893-895 W Philadelphia St,RealT,$55,$54.94,Trading,Equity,International Non-US,TBA
10163 Duprey St,RealT,$54,$53.63,Trading,Equity,International Non-US,TBA
13430 Tacoma St,RealT,$51,$50.64,Trading,Equity,International Non-US,TBA
9481 Wayburn St,RealT,$58,$57.53,Trading,Equity,International Non-US,TBA
Vidby AG,VIDS,"$10,000",$6.66,Trading,Equity,International Non-US,AI-powered software for fast and accurate video translation and dubbing into 70 languages
10639 Stratman St,RealT,$58,$58.00,Trading,Equity,International Non-US,"The property, a single-family home, is located at 10639 Stratman St in the Outer Drive - Hayes suburb of Detroit, Michigan. Built in 1942, the home has a considerable interior space of 1,552 square fe..."
10511 Whittier Ave,RealT,$50,$49.90,Trading,Equity,International Non-US,TBA
19731 Shields St,RealT,$51,$50.89,Trading,Equity,International Non-US,"We’re happy to offer you this single-family residence in the serene Farwell neighborhood of Detroit. 19731 Shields enjoys a pleasing blend of comfort and affordability in 792 square feet, with 3 bedro..."
Figure - 150M USD,FLOC2020-1,$0,$1,Trading,Fixed Income,US Accredited,"On March 5, 2020, Figure sponsored the first securitization backed by loans originated, serviced, financed, and sold using blockchain technology (the “FLOC 2020-1 securitization”).
In other words,..."
EIB - 50M GBP,EIB50M,-,$1,Trading,Fixed Income,International Accredited,"The European Investment Bank (EIB) issued its third blockchain bond, a GBP 50 million three-year floating rate bond using the HSBC Orion bond tokenization solution - Orion's first. BNP Paribas, HSBC a..."
15796 Hartwell St Detroit,RealT,$53,$53.04,Trading,Equity,International Non-US,TBA
5601 S Wood St,RealT,$54,$54.08,Trading,Equity,International Non-US,TBA
Clever Forever Education AG,CFES,$250,$0.46,Trading,Equity,International Non-US,The Clever Forever Education AG develops a highly innovative digital learning platform. Their app CatnClever promotes early childhood education and aims at preschoolers aged 3-7 with serious games scr...
Fieldoo AG,FDOS,$50,$0.51,Trading,Equity,International Non-US,"Fieldoo is an online football marketplace, creating offline opportunities and events. Fieldoo connects clients to a broad network of sport professionals, helps find opportunities and as well organises..."
3588 Oakman Blvd,RealT,$50,$50.19,Trading,Equity,International Non-US,TBA
17616 Beland St,RealT,$57,$56.68,Trading,Equity,International Non-US,TBA
18613 Oakfield Ave,RealT,$51,$50.54,Trading,Equity,International Non-US,TBA
10465 Decker Ave,RealT,$50,$50,Trading,Equity,International Non-US,"Located adjacent to the Mort Jacobs Park, a sprawling 10.4-acre oasis with playgrounds, picnic areas, pavilions, barbecue pits, a bike rack, and a paved walking path, the residence is a haven for fami..."
19154 Sherwood St,RealT,$52,$51.70,Trading,Equity,International Non-US,TBA
8366 Schaefer Hwy,RealT,$51,$51.44,Trading,Equity,International Non-US,TBA
9117 Manor St,RealT,$50,$50.00,Trading,Equity,International Non-US,TBA
City of Lugano - 100M CHF 2,LUGANO100M2,-,$,Trading,Fixed Income,International Accredited,"The city of Lugano, Switzerland, launched a 10-year CHF digitally-native bond with a total issue volume of CHF 100 million and a maturity in 2034. This is the second tokenized bond issuance by the Cit..."
14078 Carlisle St,RealT,$54,$54.25,Trading,Equity,International Non-US,TBA
15011 Monte Vista St,RealT,$50,$50.33,Trading,Equity,International Non-US,"Explore the 15011 Monte Vista property, a charming 2-story brick bungalow in the Bethune Community of Detroit. This single-family home offers 1,032 square feet of space on a 3,920 square-foot lot, fea..."
128 E Weber St,RealT,$48,$48.15,Trading,Equity,International Non-US,"The multi-family property at 128 E Weber St, located in the Lagrange neighborhood of Toledo, Ohio, was built in 1887. It comprises 4 units, each with 3 bedrooms and 1 bathroom, totaling 2,592 square f..."
18949 Fenmore St,RealT,$56,$55.59,Trading,Equity,International Non-US,TBA
18703 Gilchrist St,RealT,$50,$50.48,Trading,Equity,International Non-US,"18703 Gilchrist is a well-kept, charming single-family residence nestled in the College Park neighborhood. This property has undergone renovations, and features a white frame exterior and a detached 1..."
Canton of Zurich - 100M CHF,ZURICH100M,"$5,681",$,Trading,Fixed Income,International Accredited,"The Canton of Zurich, Switzerland, launched an 11-year CHF digitally-native bond with a total issue volume of CHF 100 million and a maturity in 2034. The bond is being issued on the Distributed Ledger..."
